"Name","Product_Group__c","Cost_Category__c","Cost_Type__c","ProductCode","Unique_ProductCode__c","IsActive","Product_Category__c","Manual_Processing__c","Product_Name_EN__c"
"Visor Fabric, 15mm True Salerno white","VISORBLINDSALES","FactoryPurchase","verhot","VISORBLINDSALES-33311020_LP","VISORBLINDSALES33311020_LP","true","Product Options","false",""
"Visor Fabric, 16mm Langley BO ash","VISORBLINDSALES","FactoryPurchase","verhot","VISORBLINDSALES-33337614_LP","VISORBLINDSALES33337614_LP","true","Product Options","false",""
"Visor Fabric, 16mm Langley BO camel","VISORBLINDSALES","FactoryPurchase","verhot","VISORBLINDSALES-33337613_LP","VISORBLINDSALES33337613_LP","true","Product Options","false",""
"Visor Fabric, 20mm Atlanta BO white","VISORBLINDSALES","FactoryPurchase","verhot","VISORBLINDSALES-33307660_LP","VISORBLINDSALES33307660_LP","true","Product Options","false",""
"Visor Fabric, 16mm Langley BO snow white","VISORBLINDSALES","FactoryPurchase","verhot","VISORBLIND-33337611_LP","VISORBLIND33337611_LP","true","Product Options","false","Visor Fabric, 16mm Langley BO snow white"
"Visor Installation","VISORBLINDSALES","Wages","asennus","VISORBLINDSALES-PD9060024","VISORBLINDSALESPD9060024","true","Product Options","false",""
"Visor Fabric, 15mm True Salerno anthracite","VISORBLINDSALES","FactoryPurchase","verhot","VISORBLINDSALES-33311025_LP","VISORBLINDSALES33311025_LP","true","Product Options","false",""
"Visor Blinds After Sales","VISORBLINDSALES","FactoryPurchase","verhot","VISORBLINDSALES","VISORBLINDSALES30310020","true","Product Groups","false",""
"Visor Balcony Q2","VISORBLINDSALES","FactoryPurchase","verhot","VISORBLINDSALES-PD9060015","VISORBLINDSALESPD9060015","true","Product Options","false",""
"Visor Balcony Q6","VISORBLINDSALES","FactoryPurchase","verhot","VISORBLINDSALES-PD9060016","VISORBLINDSALESPD9060016","true","Product Options","false",""
"Visor Fabric, 15mm True Salerno stone","VISORBLINDSALES","FactoryPurchase","verhot","VISORBLINDSALES-33311022_LP","VISORBLINDSALES33311022_LP","true","Product Options","false",""
"Visor Fabric, 15mm Optical white Basel perla","VISORBLINDSALES","FactoryPurchase","verhot","VISORBLINDSALES-33311220_LP","VISORBLINDSALES33311220_LP","true","Product Options","false",""
"Visor Blackout Q2 BO16","VISORBLINDSALES","FactoryPurchase","verhot","VISORBLINDSALES-PD9060017","VISORBLINDSALESPD9060017","true","Product Options","false",""
"Visor Fabric, 15mm True Salerno brown","VISORBLINDSALES","FactoryPurchase","verhot","VISORBLINDSALES-33311026_LP","VISORBLINDSALES33311026_LP","true","Product Options","false",""
"Visor Fabric, 15mm True Salerno oldpink","VISORBLINDSALES","FactoryPurchase","verhot","VISORBLINDSALES-33311027_LP","VISORBLINDSALES33311027_LP","true","Product Options","false",""
"Visor Fabric, 15mm True Salerno blue","VISORBLINDSALES","FactoryPurchase","verhot","VISORBLINDSALES-33311028_LP","VISORBLINDSALES33311028_LP","true","Product Options","false",""
