"Name","Product_Group__c","Cost_Category__c","Cost_Type__c","ProductCode","Unique_ProductCode__c","IsActive","Product_Category__c","Manual_Processing__c","Product_Name_EN__c"
"L-Profile 60x40x4 Al","LG","FactoryPurchase","tuotteet","LG-11315101","LG11315101","true","Product Options","false","L-Profile 60x40x4 Al"
"L-Profile 80x40x4 Al","LG","FactoryPurchase","tuotteet","LG-11315108","LG11315108","true","Product Options","false","L-Profile 80x40x4 Al"
"L-kulma 70x30x2,9 Aler","LG","FactoryPurchase","tuotteet","LG-11315109","LG11315109","true","Product Options","false","L-kulma 70x30x2,9 Aler"
"L-Profile 70x40x2,9","LG","FactoryPurchase","tuotteet","LG-11315138","LG11315138","true","Product Options","false","L-Profile 70x40x2,9"
"L-Profile 100x30x2","LG","FactoryPurchase","tuotteet","LG-11315139","LG11315139","true","Product Options","false","L-Profile 100x30x2"
"Rectangular Profile 25x15x1,5","LG","FactoryPurchase","tuotteet","LG-11315204","LG11315204","true","Product Options","false","Rectangular Profile 25x15x1,5"
"Rectangular Profile 60x20x2","LG","FactoryPurchase","tuotteet","LG-11315221","LG11315221","true","Product Options","false","Rectangular Profile 60x20x2"
"Decor profile 40x2,0","LG","FactoryPurchase","tuotteet","LG-11315304","LG11315304","true","Product Options","false","Decor profile 40x2,0"
"Decor profile 20x3,0","LG","FactoryPurchase","tuotteet","LG-11315305","LG11315305","true","Product Options","false","Decor profile 20x3,0"
"Decor profile 25x1,5","LG","FactoryPurchase","tuotteet","LG-11315308","LG11315308","true","Product Options","false","Decor profile 25x1,5"
"Neliöputki 30x30x2","LG","FactoryPurchase","tuotteet","LG-11315402","LG11315402","true","Product Options","false","Neliöputki 30x30x2"
"Square Tube 25x25x1,5","LG","FactoryPurchase","tuotteet","LG-11315403","LG11315403","true","Product Options","false","Square Tube 25x25x1,5"
"U-Profile 30x30x2","LG","FactoryPurchase","tuotteet","LG-11315516","LG11315516","true","Product Options","false","U-Profile 30x30x2"
"Facade cover 200x14","LG","FactoryPurchase","tuotteet","LG-11319309","LG11319309","true","Product Options","false","Facade cover 200x14"
"Facade cover 260x14","LG","FactoryPurchase","tuotteet","LG-11319310","LG11319310","true","Product Options","false","Facade cover 260x14"
"U-Profile 200x50","LG","FactoryPurchase","tuotteet","LG-11319311","LG11319311","true","Product Options","false","U-Profile 200x50"
"U-Profile 250x50","LG","FactoryPurchase","tuotteet","LG-11319312","LG11319312","true","Product Options","false","U-Profile 250x50"
"U-Profile 280x50","LG","FactoryPurchase","tuotteet","LG-11319313","LG11319313","true","Product Options","false","U-Profile 280x50"
"Middle bead 30x10","LG","FactoryPurchase","tuotteet","LG-11322842","LG11322842","true","Product Options","false","Middle bead 30x10"
"Handrail 225x45","LG","FactoryPurchase","tuotteet","LG-11370001","LG11370001","true","Product Options","false","Handrail 225x45"
"Wall frame","LG","FactoryPurchase","tuotteet","LG-11370003","LG11370003","true","Product Options","false","Wall frame"
"Top installed lower frame","LG","FactoryPurchase","tuotteet","LG-11370004","LG11370004","true","Product Options","false","Top installed lower frame"
"Side installed lower frame","LG","FactoryPurchase","tuotteet","LG-11370005","LG11370005","true","Product Options","false","Side installed lower frame"
"Floor seal profile","LG","FactoryPurchase","tuotteet","LG-11370006","LG11370006","true","Product Options","false","Floor seal profile"
"Side support 30x225","LG","FactoryPurchase","tuotteet","LG-11370011","LG11370011","true","Product Options","false","Side support 30x225"
"L-Kulma 20x15x2 Al","LG","FactoryPurchase","tuotteet","LG-11721009","LG11721009","true","Product Options","false","L-Kulma 20x15x2 Al"
"Aluminium Rear Post VT3","LG","FactoryPurchase","tuotteet","LG-11750002","LG11750002","true","Product Options","false","Aluminium Rear Post VT3"
"Side beam strong VT3","LG","FactoryPurchase","tuotteet","LG-11750012","LG11750012","true","Product Options","false","Side beam strong VT3"
"lisäprofiili asennuskuormitus","LG","Wages","asennus","LG-PD9000014","LGPD9000014","true","Product Options","false",""
"lisäprofiili asennus","LG","Manhours","askuormitu","LG-PD9000015","LGPD9000015","true","Services","false",""
"HR2_maalauslisä","LG","FactoryPurchase","tuotteet","LG-PD9000016","LGPD9000016","true","Product Options","false",""
"HR3_maalauslisä","LG","FactoryPurchase","tuotteet","LG-PD9000017","LGPD9000017","true","Product Options","false",""
"HR4 _ maalauslisä","LG","FactoryPurchase","tuotteet","LG-PD9000018","LGPD9000018","true","Product Options","false",""
"HR5 _ maalauslisä","LG","FactoryPurchase","tuotteet","LG-PD9000019","LGPD9000019","true","Product Options","false",""
"rahti lisäprofiiliPL","LG","SalesFreight","rahti","LG-PD9000020","LGPD9000020","true","Product Options","false",""
"lisäprofiili asennus","LG","Wages","asennus","LG-PD9000021","LGPD9000021","true","Product Options","false",""
"lisäprofiili asennuskuormitus","LG","Manhours","askuormitu","LG-PD9000022","LGPD9000022","true","Services","false",""
"HR2_maalauslisä","LG","FactoryPurchase","tuotteet","LG-PD9000023","LGPD9000023","true","Product Options","false",""
"HR3_maalauslisä","LG","FactoryPurchase","tuotteet","LG-PD9000024","LGPD9000024","true","Product Options","false",""
"HR4 _ maalauslisä","LG","FactoryPurchase","tuotteet","LG-PD9000025","LGPD9000025","true","Product Options","false",""
"HR5 _ maalauslisä","LG","FactoryPurchase","tuotteet","LG-PD9000026","LGPD9000026","true","Product Options","false",""
"Sk-palkki 60x40x2,5","LG","FactoryPurchase","tuotteet","LG-11010746","LG11010746","true","Product Options","false",""
"L-profile 20x20x2","LG","FactoryPurchase","tuotteet","LG-11010701","LG11010701","true","Product Options","false","L-profile 20x20x2"
"L-profile 40x40x2","LG","FactoryPurchase","tuotteet","LG-11010702","LG11010702","true","Product Options","false","L-profile 40x40x2"
"Rectangular profile 70x70x(3,5)/4","LG","FactoryPurchase","tuotteet","LG-11010745","LG11010745","true","Product Options","false","Rectangular profile 70x70x(3,5)/4"
"h-bead","LG","FactoryPurchase","tuotteet","LG-11020001","LG11020001","true","Product Options","false","h-bead"
"F-bead","LG","FactoryPurchase","tuotteet","LG-11020002","LG11020002","true","Product Options","false","F-bead"
"Double h-bead","LG","FactoryPurchase","tuotteet","LG-11020003","LG11020003","true","Product Options","false","Double h-bead"
